content,engagement,comments,personal_exp
"Sending an email newsletter is a lot like dating your spouse or having coffee with a good friend.

It doesn't need to be perfect to be meaningful.

Connection, presence, and consistency is more important than only doing the ""perfect date night"" every so often.
",13,5,FALSE
It is a great week to connect with people who REALLY need EXACTLY what you're selling,18,0,FALSE
"Here's an effective strategy for designing your first course. I call it the 1-3-3-1 Method.

🏅 1 Clear Outcome for the customer
✅ 3 Steps to achieve the outcome
📖 3 Lessons for each step
👩‍🏫 1 Q&A session to help implement

You can use this same strategy to outline a paid workshop to validate the course idea.

Price it at $50 and find 20 people to sign up = $1,000 side hustle (plus you can sell the replay).

Talk about one of the success steps or lessons 3 times a week on LinkedIn

Get referrals, ask for recommendations, hang out where people are and be a part of the tribe.

Provide value + solutions.

People will show up for you 👏
",282,5,FALSE
"There are 4 elements of selling and scaling any offer, especially an online product. A quick note about each...

Before starting — I'm hosting a free workshop about this TODAY, March 8th at 4pm EST. I'll drop a registration link below, and yes there will be a replay if you see this late or can't make it live.

First = Positioning 🎯  An ideal customer is made up of 3 pillars.

☝️ Your ideal customer has a problem, that you can solve
😕 —This is called the core problem—
✌️ Your ideal customer is aware of this problem
❤️ They have the means & desire to solve this problem

Second = Delivery 👨‍🏫 Use the 1-3-3-1 Method in a live workshop format.

🏅 1 Clear Outcome for Customers
🎯 3 Steps to Achieve the Outcome
✅ 3 Lessons to Complete Each Step
👨‍🏫 1 Q&A to Implement Lessons

Third = Marketing or Sales? 💰

🗣️ Basically, if you have an audience = Marketing
💵 If you don't have an audience = Sales

Get used to sales. If you have the right positioning, the right offer will resonate with your ideal customer. Either way, positioning helps immensely.

Fourth = Launch 🚀 Create your workshop & charge $97 → Sell to 10 people ~ $1,000 revenue.

You might have to host it twice & make $500 each.

You will learn from each iteration! What did people like? What was meh? Build on it. Offer 1-1 coaching to people who fit.

Fifth (Bonus)! = Scale 📈

After all of that, keep going! Maybe it's a different offer, but hopefully you build on the workshop.

Take the replay & edit to a course offer. The 1-3-3-1 Method works here too. Add lessons as you learn from the live sessions.

You are on your way!
",4,1,FALSE
"One of the biggest changes I’ve made this year is to ask for more help. Not “advice then do it myself”, but HELP.

Help with videos (editor)
Help with money (budgeting)
Help with my relationships (therapy)
Help with my business (partner)

It’s been such a good shift ❤️
",56,2,TRUE
"I've reviewed hundreds—maybe thousands—of email capture pages the past 7 years. I see the same mistakes all the time. They are costing you customers and, thus, money.

Here are the 3 most common problems and how to fix each one.

Problem: Generic CTA → Fix: Specific Problem/Outcome
This is far and away the most common—but thankfully—easiest to fix. If your CTA is ""sign up for tips and tactics"", you're not telling anyone anything.

Problem: Promise vs Proof → Fix: Actually Publish
I see it all the time. ""New issues every week"" but on the recent issues... you haven't published in 3 months. If that's what you promise, don't blatantly show me something contrary.

Problem: Distracting from the CTA → Fix: Highlight the CTA
An email list is one of your most valuable assets. Put it front and center with a specific, proven outcome to use as CTA.

**The Wrap**
1. Make your CTA specific
2. Don't promise what you can't prove
3. Highlight your form, don't bury it
",11,4,FALSE
"One of the most interesting trends I’ll be watching in the next 10+ years 👀

What is “inheritance” like for million follower X handles, YouTube channels, etc? How do parents transfer or hand off their audience to their kids?

Of course, they will help point traffic and followers to the kids accounts. But I also wonder if the OG parent accounts will become quotes and highlights to make them easier to manage without direct involvement.

Will be fascinating to watch!
",19,3,FALSE
"Most common issue I see with people who are NOT sending a regular newsletter...

Perfectionism posing as procrastination.

An 80% perfect newsletter will help more people and make the writer more money than a 100% ""perfect"" newsletter sent occasionally.

The second most common issue is time or priority.

This is usually for a podcaster or YouTuber, i.e. writing isn't their main focus.

An email newsletter is a huge opportunity for you too! Consider working with me to build your list and manage the content.
",16,1,FALSE
"Simple framework to write a weekly newsletter centered on a monthly theme 🧑‍💻

Week 1 → Introduce topic, why it's a problem, & opportunity for growth

Week 2 → Amplify problem & tease the solution

Week 3 → Share the solution & steps

Week 4 → Tie everything together w/ a case study

Repeat monthly for a year of content!
",25,6,FALSE
"My secret to publishing consistent weekly newsletters? I use monthly content themes. Ok this isn't a revelation, but it's effective and often under-utilized. You need is 3-4 themes to write a weekly newsletter all year.

*My Monthly Newsletter Themes*
🎯 Goal Setting
⏰ Time Management
💡 Idea Development
🧰 Productivity Tool Systems

I even have a few sub-themes I can spend an entire month on. For example this month I'm writing about Building a Second Brain by 🧠 Each week is a different concept from BASB, which culminates in an affiliate promotion for his course.

Let's break it down → 4 themes, with 4 emails per month, for 3 months out of every year.

Writing 52 email newsletters sounds challenging, but that's too disjointed. That is intimidating.

But with themes, you're not writing 52 disconnected emails. You're writing 12 focused emails about 4 themes you know really well.

I'll be sharing more content organization tips this week, follow along and say hi in the comments!
",43,9,TRUE
"A lesson I learned about publishing on the internet. Half-ass work is ok… but there’s a catch.

Most people have such inflated expectations that the very active publishing anything feels like a high mountain to climb.

As Anne Lamott says, the basis of any great body of work starts with a sh!tty first draft.

So if you, dear friend, have high expectations, good for you! But that means it is ok to “half-ass” some content and put in the reps to be great.
",22,1,TRUE
"📣 I'm planning a Newsletter Accelerator course for this fall. I'll take you through everything you need to know to write, automate, monetize, and grow your newsletter 📧

Seeking feedback on how you would most like to learn through a course like this. Format, timing, release schedule, etc. Simple poll below but please comment with any other feedback. Thanks!
",2,3,FALSE
"After all this time working in the creative, knowledge, and startup fields — there's one thing I can rely on above everything else...

If I get started
And stick with it
After a bit of struggle
The good stuff starts coming
So I don't give up on the process
",14,4,TRUE
3 Offline Marketing Lessons That Will Boost Your Online Conversions: http://buff.ly/1iJVkEF via Unbounce,0,0,FALSE
"Make your customer the hero of the story 🦸‍♀ 🦸‍♂️
This is the first piece of advice I give clients when we're writing their sales copy.

Reading that statement will sound obvious in theory, but in practice most creators struggle to make their customer the hero.

It's not because you're self-absorbed, it's because you're insecure.

Before you leave in huff — let me explain...

Most websites and sales pages talk a lot about how great the product is, awards won, accolades received, and how brilliant and life-changing the offer could be.

This is insecure copywriting. You're desperate to prove how smart, successful, and worthy you and your ideas are — so you use the most important part of the page to show the prospect why they should trust you.

Don't be insecure, be a guide 🧙‍♂️

The prospect is on your page because they have a problem and think you can help. If your page doesn't tell the prospect how to solve the problem—and fast—they'll find someone else who will.

A few helpful frameworks to find and follow 🔍
Donald Miller - StoryBrand
Rachel Rodgers - Power Offers
Ray Edwards - PASTOR
Billy Broas - 5 Lightbulbs

Any you prefer to use? Share in the comments!
",80,3,FALSE
"Startups? They're not sprints, they're marathons. It's not about the quick dash, the flash in the pan. It's a long, calculated, grueling race.

The secret? It's all in the shift.

Glycolysis to Oxidative. Sounds scientific? It is. But it's more than that. It's a metaphor. A shift from short-lived energy bursts to long-term, sustainable fuel. It's about changing gears, altering strategies. It's about endurance.

Adaptable. That's what you need to be. Nimble. Agile. Ready to pivot when the race course takes an unexpected turn. Ready to endure when the road is long, and the finish line seems out of sight.

Sustainable. That's your fuel. Not the quick burst of a sprinter but the slow, steady burn of a marathoner. That keeps you going, mile after mile, hurdle after hurdle.

Startups? They're not about who's fastest out the gate. It's about who's still standing at the finish line. And the secret to staying the course? Make the shift.

Adapt. Endure. Run the marathon, not the sprint.

Is your startup strategy designed for a sprint or a marathon?

",17,4,FALSE
"I don’t believe in work-life balance.

The stories sparked by societal pressures craft the narrative that there’s a right or wrong way to live our lives. This puts pressure that our lives should be equally split between work and personal. For many, we are wasting energy striving towards an ideal that is near impossible to achieve.

Yet, the reality is that some thrive with a work-focused life. Others thrive on having a paycheck to focus elsewhere.

I’ve learned from copious amounts of silence that this season of my life, it’s taking a work-centric view. I’m at peace with how this reflects in where I allocate my time. I get energized working on the weekend rather than depleted.

Equally, there is no right way to live your life.

If you have a job that you view as a paycheck to allocate your focus elsewhere, that is equally a win.

The aim is to be aware of what we value and what we prioritize so we can best execute them.

Rather than feeling guilty for allocating our focus in a certain direction when we feel like we “should” be putting our time elsewhere.

Simply put awareness and focus are freedom.

",29,5,TRUE
"A high-performing, passionate, and innovative team isn’t nice to have.

It’s a necessity.

Here is how you can drive superior organizational performance 👇🏼

If you’re committed to fostering a culture of innovation, productivity, and employee satisfaction, this is for you.
However, if you're looking for quick fixes or traditional top-down management strategies, this may not align with your leadership style.

Many startups struggle with employee engagement, team cohesion, and fostering innovation. Traditional leadership models fail to address these issues, leading to:

High employee turnover
Low morale
Stagnated growth

Transformational leadership emphasizes:
Inspiration
Individual consideration
Intellectual stimulation

This leads to higher employee satisfaction and increased organizational performance. Companies like Google, Apple, and Tesla have adopted aspects of this leadership style.

Implement transformational leadership involves a four-step process:
1. Inspirational Motivation: Communicate a compelling vision of the future, demonstrating enthusiasm and optimism.
2. Intellectual Stimulation: Encourage creativity and critical thinking, creating an environment where new ideas and innovation are welcomed.
3. Individualized Consideration: Understand and acknowledge each employee's unique needs and abilities, and provide them with opportunities for growth.
4. Idealized Influence: Lead by example, exhibiting high moral and ethical standards.

The ability to adapt and innovate is crucial for any startup. Transformational leadership fosters a culture of creativity and adaptability. This makes it especially relevant and useful in today's dynamic business environment.

Companies that have employed transformational leadership have seen remarkable results.

Google's emphasis on intellectual stimulation has led to groundbreaking products like Google Maps and Gmail.

Tesla's Elon Musk inspires his workforce with a compelling vision of a sustainable future, driving remarkable innovations in electric vehicles and renewable energy.

Start transforming your leadership style today.

Empower
Inspire
Motivate

Lead your team to increased performance, innovation, and job satisfaction.
The path to becoming a transformational leader starts with you.

",6,4,FALSE
Get comfortable with being uncomfortable. It’s the only path to growth.,30,0,FALSE
"Unleashing The Power Within: The Mind-Body Connection 🧠💪🏼

We're constantly seeking the edge to up our game.
Total dedication to strategy and execution.
But here's the twist - you might be overlooking your most powerful tool.

The game-changer?
The mind-body connection.

This isn't about chasing the latest fitness trend or mindfulness craze.
It's about merging those two worlds to fuel your peak performance.

Get your body fit, sharpen your mind, and watch as you tap into a flow state that catapults productivity, spikes creativity, and boosts your energy levels.

This is your secret weapon to outmaneuver the competition and redefine your limits.

It's time to rethink your approach.
Reframe fitness.
Recalibrate wellness.

Invest in your physical prowess and mental resilience.

Ready to unlock your hidden potential?

Hit the comments with a 'YES' if you're all in to powering up your performance with the mind-body connection.

And tell us, how do you maintain equilibrium in this fast-paced, high-stakes world?

~

Curious to learn more?

Check out this week's newsletter:


",2,0,FALSE
"Motivation isn't always about 'hustle.'

Sometimes, it's about knowing when to rest.

Recovery is part of the process.

Every high performer knows this.

You're running a marathon, not a sprint.

How do you know when to rest?

",6,4,FALSE
"Whenever I feel unmotivated or drained, I come back to my why.

Because my why is so strong, it’s always feeding what I’m putting out into the world.

Do you know your why? Does it provide you with motivation?

",1,0,TRUE
