content,engagement,comments
"I didn't have:
❌ a traditional oven
❌ a microwave oven
❌ good pan-frying skills

So, I decided to steam my burrito.

❌ But I also don't have a steam rack to keep the burrito out of the water.

My constraints eventually helped me create a solution:
☕ Flip over the ceramic cover for my cup
🍽️ Balance the sides with flipped-over mini utensils

It's not fancy, but I got to enjoy a hot burrito.

Remember: Creativity doesn't have to be grand.

…see more",32,5
"We know that everything comes at a cost...

But some costs are better hidden than others.

The 2 most common ""hidden costs"" can also unleash chaos in your life.

If you'd like to learn more:

💌 Subscribe to my newsletter before 12AM EDT on Tuesday, 19 September to receive it in your inbox, or

✉️ Comment ""COST"" below and I'll DM you :D
…see more",5,1
"2012 - 2015:
✍️ Write a few paragraphs
📓 Put my journal away on a shelf
🧠 Forget about it until 3 months later

2015: Started taking journalling seriously to
💭 Visualize my ideal future
📚 Cope with academic stress
📈 Track my progress on my goals

I've journalled consistently since then (8 years!)

Here's the beliefs that helped me stay consistent:

1️⃣ Just write one sentence per day

🗑️ Better to ""ruin"" a journal with rubbish thoughts and angry scribbles, than let those thoughts ruin your mind

✍️ If you forget, jump right back to it when you remember
…see more",22,8
"After my migraine attack earlier this year, I realized:

You're going to spend the rest of your life with your mind and your body.

Yes, work is important.
Yes, family is important.
Yes, friends are important.

But it's equally important to:
- Make time to rest
- Protect your peace
- Be your own best friend

Curious to hear what you're up to this week 👇🏼
…see more",37,9
"Know someone who had their internship plans disrupted? Share this free resource for sourcing internships with them: https://lnkd.in/fFH4m-k

[Employers - from MNCs to startups to non-profits, we need your support!]
For employers who are still looking to hire for this summer, be it in the US, Singapore, China, Remote, or other locations, you can list your internships here:


COVID-19 has disrupted lives, livelihoods, businesses, and communities worldwide. We are stepping up to help provide a not-for-profit platform for aspiring students with disrupted internship plans to find a suitable internship for this summer. There is a significant information asymmetry in who's still hiring and who's still looking, so we really hope this helps.

Tagging:
Asim Jenna
…see more",3,0
"Today's Deliberate Experimentation challenge:

💌 Implement an email marketing ""platform"" in Airtable

Inspiration:
(AI Transformation Officer at Mindvalley)


At Day 1 of 's AI Summit, he demonstrated how to:

🔗 link data through their real-world relationships
🤖 generate ideas and plans from linked data using &

(Notion and 100+ other apps can do this too, but Mindvalley's using Airtable)


I was intrigued. I wanted to try it out!

But I was also a no-code and AI noob.

So I decided to work with Airtable's automations first.

Within 3.5 hours, I was able to set up a bare-bones email marketing platform:
✍️ Let people sign up for a list/list segment via Airtable forms
📝 Let subscribers manage their preferences
📤 Schedule emails to send to subscribers

Now that I have some confidence, I'm excited to:
🤖 Integrate AI for content generation
🗺️ Create automated email sequences for my lead magnet
💌 Style my emails better (it's currently bare-bones HTML)

What are you experimenting with today?
…see more",5,0
"While I'm no longer in Mentoring Club, I'll definitely continue to pay it forward. There's definitely a lot more that I can do :)

Thank you for giving me so many opportunities to grow throughout the past 3 years. And thank you for featuring me!



…see more",63,1
"My brain short-circuited when I saw this bowl of acai 😍

The staff paid so much attention to detail:
🔍 The fancy peanut butter swirl
🔍 The chia seeds sprinkled on top of the strawberries
🔍 The clear layout of every ingredient so that I could see them

I was dying to dive in, but I had a meeting to attend.

When I finally started eating, the ingredients were SO fresh...
It blew my mind for the second time.

Setting and achieving goals is like this bowl of acai.

🧐 If you're clearer and more detailed about what you want...
✅ You'll be more excited to work on it.

🥝 If you have higher-quality ""ingredients"" (habits, mindsets, etc.)...
✅ You'll enjoy the journey a lot more.

P.S. What's a dish/meal that blew you away before?
…see more",24,2
"How to better embrace change, from a group meditation I did last Sunday:

1. Recognize impermanence
2. View changes as experiments
3. Use systems, routines, and rituals
4. Have compassion for yourself. Always.

What other strategies have helped you?
…see more",0,0
"Effort today,
Enjoyment next year.
Resistance is temporary.
Keep going.

👆 A saying I've repeated to myself for the past 5 years.

It reminds me that:
- Good things take time and effort
- Playing the long game always works

Here's a photo of the Mandarin version, written in 2019:
…see more",15,0
"At the age of 10, my grades for Mandarin started dropping.

Worried that I would fail, I asked my parents to enroll me in private tuition.

It worked at first.
Then, my grades quickly stagnated.

By the age of 15, I was doing poorer than my 10-year-old self.

I was putting a lot of effort and time toward the subject, but seeing little improvements.

Feeling bad for wasting my parents’ money, I decided to:
❌ Quit private tuition
🔍 Find my areas of weakness
📝 Practice my areas of weakness more—on my own

Within a year, I managed to do well enough at the national examinations with this strategy.

👉🏻 It's not just how much you work, but also *what* you work on.
Growth correlates the strongest with applied leverage.

(the coefficients below are arbitrary, but show the relative multipliers of each variable)
…see more",15,0
